contas,nomenclatura_estrutura
Materiais de proteção e segurança,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais para jardinagem,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais para impermeabilização,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Acessórios para Máquinas e Equipamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Fretes e Carretos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Impressos e materiais de escritório,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Uniformes,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Higienização Uniformes/ EPIs,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Material p/Sistema de Monitoramento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais para tratamento de Piso,(-) CUSTOS DOS SERVIÇOS PRESTADOS
< - > Materiais Diversos -( Bonfiicação),(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais para Sinalização,(-) CUSTOS DOS SERVIÇOS PRESTADOS
MATERIAL DE INFORMATICA,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Medicamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Serviços profissionais contratados - PJ,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Serviços profissionais Contratados - PF,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Exames Admissionais/Demissionais/Periódicos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Informática,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Internet,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Correios e Malotes,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Rastreamento e Monitoramento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Equipamentos não imobilizados,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Móveis e utensílios não imobilizados,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Benfeitorias contratuais,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aluguel de equipamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manut. e Conserv. de equipamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção de instalações/Predial,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aluguel de veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção e Conservação de Veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Licenciamento de veículos/Ipva,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Seguro de veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Consumo de combustível/Lubrificantes,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Outros gastos com veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Pedágio,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Estacionamento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Seguro de riscos diversos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Contas telefônicas,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Energia elétrica,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Água,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Gás,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Outros Custos Alocáveis,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Taxas/Emolumentos e Credenciais,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Outros Custos Indedutíveis,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Processo Trabalhista,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aluguel de Toalhas p/ Limpeza,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Processos Diversos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Despesas com Refeições,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Despesas Locomoção/Kilometragem/Passagens,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Despesas com Hospedagem,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aluguel de Imóveis,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Baixa Titulos Incobráveis,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Processo Trabalhista Rescisório,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Telefonia Móvel,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Sinistro/avarias/Roubos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Contribuição sindical patronal,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Baixa de Ativo p/ Sucata/ Obsoleto,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Comunicação,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Cópias / Autenticações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Seguro Fiança,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Copa e Cozinha,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Multas de Trânsito,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Multas por Infrações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Juros de Fornecedores,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Juros s/Impostos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Multa Contratual,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Evento/Confraternização,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Brindes,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Comissão sobre Leilão,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Patrocínio,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Processo Cível,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Motoboy,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Provisão de Processo Trabalhista,(-) CUSTOS DOS SERVIÇOS PRESTADOS
ICMS SUBST.TRIBUTÁRIA,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Honorários Advocatícios,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de equipamentos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de móveis e utensílios,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de computadores e periféricos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de equipamentos Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de móveis e utensílios Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de computadores e periféricos Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Depreciação de veículos Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção de equipamentos Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção de móveis e utensílios Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção de computadores Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manutenção de veículos Acelerada,(-) CUSTOS DOS SERVIÇOS PRESTADOS
GERÊNCIA OPERACIONAL XYZ,(-) CUSTOS DOS SERVIÇOS PRESTADOS
SUPERVISÃO OPERACIONAL ZYX,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Provisão Para Crédito de Liquidação Duvidosa,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Gratificação,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Móveis e utensílios não imobilizados,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Salários e Ordenados,(-) DESPESAS ADMINISTRATIVAS
Pró-Labore,(-) DESPESAS ADMINISTRATIVAS
Horas extras,(-) DESPESAS ADMINISTRATIVAS
Adicional de insalubridade,(-) DESPESAS ADMINISTRATIVAS
Adicional de periculosidade,(-) DESPESAS ADMINISTRATIVAS
Adicional de disponibilidade,(-) DESPESAS ADMINISTRATIVAS
Adicional noturno,(-) DESPESAS ADMINISTRATIVAS
Adicional por tempo de serviço,(-) DESPESAS ADMINISTRATIVAS
Ajuda de custo,(-) DESPESAS ADMINISTRATIVAS
Participação nos Lucros -PLR,(-) DESPESAS ADMINISTRATIVAS
Gratificações,(-) DESPESAS ADMINISTRATIVAS
Prêmios / Bônus,(-) DESPESAS ADMINISTRATIVAS
Comissões,(-) DESPESAS ADMINISTRATIVAS
Bolsa auxilio à Estagiários,(-) DESPESAS ADMINISTRATIVAS
Outras remunerações,(-) DESPESAS ADMINISTRATIVAS
DSR Complementar,(-) DESPESAS ADMINISTRATIVAS
Provisão de férias e Encargos sociais,(-) DESPESAS ADMINISTRATIVAS
Provisão para 13º Salário e Encargos sociais,(-) DESPESAS ADMINISTRATIVAS
INSS parte Empresa,(-) DESPESAS ADMINISTRATIVAS
FGTS parte empresa,(-) DESPESAS ADMINISTRATIVAS
Aviso prévio indenizado,(-) DESPESAS ADMINISTRATIVAS
FGTS sobre indenizações,(-) DESPESAS ADMINISTRATIVAS
Assistência Médica,(-) DESPESAS ADMINISTRATIVAS
Seguro de Vida,(-) DESPESAS ADMINISTRATIVAS
Auxílio alimentação,(-) DESPESAS ADMINISTRATIVAS
Cesta básica,(-) DESPESAS ADMINISTRATIVAS
Auxílio transporte,(-) DESPESAS ADMINISTRATIVAS
Treinamento/Cursos,(-) DESPESAS ADMINISTRATIVAS
Lanches e refeições,(-) DESPESAS ADMINISTRATIVAS
Fretamento,(-) DESPESAS ADMINISTRATIVAS
Taxa Administrativa - Benefícios,(-) DESPESAS ADMINISTRATIVAS
Aluguel de imóvel,(-) DESPESAS ADMINISTRATIVAS
Condomínio,(-) DESPESAS ADMINISTRATIVAS
Imposto predial - IPTU,(-) DESPESAS ADMINISTRATIVAS
Benfeitorias contratuais,(-) DESPESAS ADMINISTRATIVAS
Manutenção e conservação predial,(-) DESPESAS ADMINISTRATIVAS
Manutenção e consevação de instalações,(-) DESPESAS ADMINISTRATIVAS
Manut.Conserv. de Equipamentos,(-) DESPESAS ADMINISTRATIVAS
Aluguel de equipamentos/Móveis Utensilios,(-) DESPESAS ADMINISTRATIVAS
Bens duráveis não imobilizados,(-) DESPESAS ADMINISTRATIVAS
Seguro de incêndio,(-) DESPESAS ADMINISTRATIVAS
Seguro de riscos diversos,(-) DESPESAS ADMINISTRATIVAS
Contas telefônicas,(-) DESPESAS ADMINISTRATIVAS
Energia elétrica,(-) DESPESAS ADMINISTRATIVAS
Água,(-) DESPESAS ADMINISTRATIVAS
Gás,(-) DESPESAS ADMINISTRATIVAS
Contribuições e doações,(-) DESPESAS ADMINISTRATIVAS
Tarifa de serviços bancários,(-) DESPESAS ADMINISTRATIVAS
Copa e Cozinha,(-) DESPESAS ADMINISTRATIVAS
Cópias/Autenticações,(-) DESPESAS ADMINISTRATIVAS
Despesas diversas,(-) DESPESAS ADMINISTRATIVAS
Processo Trabalhista,(-) DESPESAS ADMINISTRATIVAS
Taxas/Emolumentos e Credenciais,(-) DESPESAS ADMINISTRATIVAS
Despesas Indedutíveis,(-) DESPESAS ADMINISTRATIVAS
Processos Diversos,(-) DESPESAS ADMINISTRATIVAS
Ajuste de Inventário,(-) DESPESAS ADMINISTRATIVAS
Telefonia Móvel,(-) DESPESAS ADMINISTRATIVAS
Sinistros,(-) DESPESAS ADMINISTRATIVAS
Baixa de Ativo p/ Sucata/ Obsoleto,(-) DESPESAS ADMINISTRATIVAS
Seguro Fiança,(-) DESPESAS ADMINISTRATIVAS
Evento/Confraternização,(-) DESPESAS ADMINISTRATIVAS
Locações Diversas,(-) DESPESAS ADMINISTRATIVAS
Perda,(-) DESPESAS ADMINISTRATIVAS
Aluguel de Imovel - PJ,(-) DESPESAS ADMINISTRATIVAS
Processo Cível,(-) DESPESAS ADMINISTRATIVAS
Processos Tributários,(-) DESPESAS ADMINISTRATIVAS
Patrocínio,(-) DESPESAS ADMINISTRATIVAS
Honorários Advocatícios,(-) DESPESAS ADMINISTRATIVAS
Auditoria,(-) DESPESAS ADMINISTRATIVAS
Consultoria/Assessoria,(-) DESPESAS ADMINISTRATIVAS
Correios e Malotes,(-) DESPESAS ADMINISTRATIVAS
Despachante aduaneiro,(-) DESPESAS ADMINISTRATIVAS
Informática,(-) DESPESAS ADMINISTRATIVAS
Internet,(-) DESPESAS ADMINISTRATIVAS
Motoboy,(-) DESPESAS ADMINISTRATIVAS
Seleção e recrutamento,(-) DESPESAS ADMINISTRATIVAS
Serviço de Mão de Obra,(-) DESPESAS ADMINISTRATIVAS
Serviços Profissionais Contratados PJ,(-) DESPESAS ADMINISTRATIVAS
Exames Admissionais/Demissionais/Periódicos,(-) DESPESAS ADMINISTRATIVAS
Rastreamento e Monitoramento,(-) DESPESAS ADMINISTRATIVAS
Comissão sobre Leilão,(-) DESPESAS ADMINISTRATIVAS
Materiais de consumo,(-) DESPESAS ADMINISTRATIVAS
Materiais de Limpeza,(-) DESPESAS ADMINISTRATIVAS
Materiais para prest de servicos,(-) DESPESAS ADMINISTRATIVAS
Materiais de manutenção e Cons. de Equip.,(-) DESPESAS ADMINISTRATIVAS
Materiais de proteção e segurança,(-) DESPESAS ADMINISTRATIVAS
Materiais para jardinagem,(-) DESPESAS ADMINISTRATIVAS
Acessórios para Máquinas e Equipamentos,(-) DESPESAS ADMINISTRATIVAS
Fretes e Carretos,(-) DESPESAS ADMINISTRATIVAS
Impressos e materiais de escritório,(-) DESPESAS ADMINISTRATIVAS
Uniformes,(-) DESPESAS ADMINISTRATIVAS
Material p/Sistema de Monitoramento,(-) DESPESAS ADMINISTRATIVAS
Materiais para Sinalização,(-) DESPESAS ADMINISTRATIVAS
MATERIAL DE INFORMATICA,(-) DESPESAS ADMINISTRATIVAS
Medicamentos,(-) DESPESAS ADMINISTRATIVAS
Passagens em Geral.,(-) DESPESAS ADMINISTRATIVAS
Hospedagem,(-) DESPESAS ADMINISTRATIVAS
Despesas com Refeições,(-) DESPESAS ADMINISTRATIVAS
Locomoção/Kilometragem,(-) DESPESAS ADMINISTRATIVAS
Outras despesas de viagens,(-) DESPESAS ADMINISTRATIVAS
Aluguel de veículos,(-) DESPESAS ADMINISTRATIVAS
Combustíveis/Lubrificantes,(-) DESPESAS ADMINISTRATIVAS
Pedágio,(-) DESPESAS ADMINISTRATIVAS
Estacionamento,(-) DESPESAS ADMINISTRATIVAS
Manut. e Conserv. de Veículos,(-) DESPESAS ADMINISTRATIVAS
Licenciamento de veículos/Ipva,(-) DESPESAS ADMINISTRATIVAS
Seguro de veículos,(-) DESPESAS ADMINISTRATIVAS
Outros gastos com veículos,(-) DESPESAS ADMINISTRATIVAS
Sinistros/Avarias/Roubos,(-) DESPESAS ADMINISTRATIVAS
Provisão para Contingências,(-) DESPESAS ADMINISTRATIVAS
Brindes,(-) DESPESAS ADMINISTRATIVAS
Feiras & Eventos,(-) DESPESAS ADMINISTRATIVAS
Material promocional,(-) DESPESAS ADMINISTRATIVAS
Veiculação de anúncios,(-) DESPESAS ADMINISTRATIVAS
Taxa de Licença e funcionamento,(-) DESPESAS ADMINISTRATIVAS
Imposto sobre Operações Financeiras - IOF,(-) DESPESAS ADMINISTRATIVAS
Contribuições sindicais,(-) DESPESAS ADMINISTRATIVAS
Contribuições a entidades de classe,(-) DESPESAS ADMINISTRATIVAS
Multas compensatórias,(-) DESPESAS ADMINISTRATIVAS
Multas de Trânsito,(-) DESPESAS ADMINISTRATIVAS
IRPJ Parcelado,(-) DESPESAS ADMINISTRATIVAS
ICMS - diferencial de alíquota,(-) DESPESAS ADMINISTRATIVAS
Multas por Infrações,(-) DESPESAS ADMINISTRATIVAS
Impostos e Taxas,(-) DESPESAS ADMINISTRATIVAS
Juros de Fornecedores,(-) DESPESAS ADMINISTRATIVAS
Juros sobre impostos,(-) DESPESAS ADMINISTRATIVAS
Multa Contratual,(-) DESPESAS ADMINISTRATIVAS
Juros sobre Parcelamento,(-) DESPESAS ADMINISTRATIVAS
Depreciação de ativos,(-) DESPESAS ADMINISTRATIVAS
Depreciação de veículos,(-) DESPESAS ADMINISTRATIVAS
Amortização de ativos,(-) DESPESAS ADMINISTRATIVAS
Amortizações de Benfeitorias,(-) DESPESAS ADMINISTRATIVAS
Despesas Reembolsadas,(-) DESPESAS ADMINISTRATIVAS
Outras Receitas,(-) DESPESAS ADMINISTRATIVAS
Recuperação no recebimento de créditos,(-) DESPESAS ADMINISTRATIVAS
Equivalência Patrimonial,(+/-) RESULT. EQUIVALENCIA PATRIMONIAL
Rendimento de aplicações financeiras,(+) RECEITAS FINANCEIRAS
Juros de clientes,(+) RECEITAS FINANCEIRAS
Descontos obtidos,(+) RECEITAS FINANCEIRAS
Outras receitas financeiras,(+) RECEITAS FINANCEIRAS
Juros de empréstimos,(-) DESPESAS FINANCEIRAS
Juros de arrendamento mercantil,(-) DESPESAS FINANCEIRAS
Descontos concedidos,(-) DESPESAS FINANCEIRAS
Outras despesas financeiras,(-) DESPESAS FINANCEIRAS
Juros de Fornecedores,(-) DESPESAS FINANCEIRAS
IOF,(-) DESPESAS FINANCEIRAS
Juros Sobre Duplicatas Descontadas,(-) DESPESAS FINANCEIRAS
Variações monetárias ativas,(+) RECEITAS FINANCEIRAS
Variações cambiais ativas,(+) RECEITAS FINANCEIRAS
Variações cambiais passivas,(-) DESPESAS FINANCEIRAS
Venda de ativos imobilizados,OUTRAS RECEITAS/DESPESAS
Venda de Sucata,OUTRAS RECEITAS/DESPESAS
Indenizações de Sinistros,OUTRAS RECEITAS/DESPESAS
Ganho na Venda de Ativo Imobilizado,OUTRAS RECEITAS/DESPESAS
Doações Recebidas,OUTRAS RECEITAS/DESPESAS
Despesas Reembolsadas,OUTRAS RECEITAS/DESPESAS
Sinistros,OUTRAS RECEITAS/DESPESAS
Baixa de Ativo p/ Sucata/ Obsoleto,OUTRAS RECEITAS/DESPESAS
Baixa de Ativo p/ Roubo / Furto / Extravio,OUTRAS RECEITAS/DESPESAS
Ajuste de Inventário,OUTRAS RECEITAS/DESPESAS
Provisão para Contribuição social,IMPOSTO DE RENDA E CONTRIBUIÇÃO SOCIAL
Provisão para Imposto de renda,IMPOSTO DE RENDA E CONTRIBUIÇÃO SOCIAL
Contribuição Social Diferida,IMPOSTO DE RENDA E CONTRIBUIÇÃO SOCIAL
Imposto de Renda Diferido,IMPOSTO DE RENDA E CONTRIBUIÇÃO SOCIAL
Prestação de Outros Serviços,RECEITAS BRUTAS
Prestação de Serviços de Segurança Patrimonial,RECEITAS BRUTAS
Prestação de Serviços de Consultoria em Segurança,RECEITAS BRUTAS
Prestação de Serviços Extras Outros Serviços,RECEITAS BRUTAS
Prestação de Serviços Extras de Segurança Patrimonial,RECEITAS BRUTAS
Prestação de Serviços de Escolta,RECEITAS BRUTAS
Prestação de Serviços de Segurança Patrimonial,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Consultoria em Segurança,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Escolta,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Segurança Patrimonial,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Consultoria em Segurança,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Escolta,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Segurança Patrimonial,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Consultoria em Segurança,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Escolta,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Segurança Patrimonial,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Consultoria em Segurança,(-) DEDUÇÕES DA RECEITA
Prestação de Serviços de Escolta,(-) DEDUÇÕES DA RECEITA
Rastreamento e Monitoramento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Pró Labore,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Adicional por tempo de serviço,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Gratificações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Prêmios/Bônus,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Taxa Operacional - Benefícios,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de Manutenção e Conserv. de Equipamento,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de proteção e segurança - EPIs,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Honorários Advocatícios,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Aluguel de Cães,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Manut. e Conserv. de Veículos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Consumo de combustível/Lubrificante,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Despesas de Refeições,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Despesas Locomoção/Kilometragem/ Passagens,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Perdas,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Sinistros/Roubos,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Nextel,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Contribuição sindical patronal,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Cópias/Autenticações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Eventos /Confraternizações,(-) CUSTOS DOS SERVIÇOS PRESTADOS
DESPESAS GERAIS ADMINISTRATIVAS (SEG) BH,(-) CUSTOS DOS SERVIÇOS PRESTADOS
SEGURANÇA DO TRABALHO BH,(-) CUSTOS DOS SERVIÇOS PRESTADOS
Serviços Profissionais Contratados PJ,(-) DESPESAS ADMINISTRATIVAS
Efluentes,(-) DESPESAS ADMINISTRATIVAS
Nextel,(-) DESPESAS ADMINISTRATIVAS
Perda,(-) DESPESAS ADMINISTRATIVAS
Advocacia,(-) DESPESAS ADMINISTRATIVAS
Imprensa,(-) DESPESAS ADMINISTRATIVAS
Sistema da qualidade,(-) DESPESAS ADMINISTRATIVAS
Materiais de consumo,(-) DESPESAS ADMINISTRATIVAS
Materiais de Limpeza,(-) DESPESAS ADMINISTRATIVAS
Materiais de manutenção e Cons. de Equip.,(-) DESPESAS ADMINISTRATIVAS
Materiais de proteção e segurança,(-) DESPESAS ADMINISTRATIVAS
Materiais para jardinagem,(-) DESPESAS ADMINISTRATIVAS
Acessórios para Máquinas e Equipamentos,(-) DESPESAS ADMINISTRATIVAS
Fretes e Carretos,(-) DESPESAS ADMINISTRATIVAS
Impressos e materiais de escritório,(-) DESPESAS ADMINISTRATIVAS
Uniformes,(-) DESPESAS ADMINISTRATIVAS
Materiais para Sinalização,(-) DESPESAS ADMINISTRATIVAS
MATERIAL DE INFORMATICA,(-) DESPESAS ADMINISTRATIVAS
Medicamentos,(-) DESPESAS ADMINISTRATIVAS
Passagens em Geral.,(-) DESPESAS ADMINISTRATIVAS
Hospedagem,(-) DESPESAS ADMINISTRATIVAS
Refeições,(-) DESPESAS ADMINISTRATIVAS
Locomoção/Kilometragem,(-) DESPESAS ADMINISTRATIVAS
Outras despesas de viagens,(-) DESPESAS ADMINISTRATIVAS
Provisão para Contingências,(-) DESPESAS ADMINISTRATIVAS
Brindes,(-) DESPESAS ADMINISTRATIVAS
Feiras & Eventos,(-) DESPESAS ADMINISTRATIVAS
Material promocional,(-) DESPESAS ADMINISTRATIVAS
Veiculação de anúncios,(-) DESPESAS ADMINISTRATIVAS
Descontos obtidos,(+) RECEITAS FINANCEIRAS
Juros de arrendamento mercantil,(-) DESPESAS FINANCEIRAS
IOF,(-) DESPESAS FINANCEIRAS
Variações monetárias ativas,(+) RECEITAS FINANCEIRAS
Indenizações de Sinistros,OUTRAS RECEITAS/DESPESAS
Perda na venda de ativo imobilizado,OUTRAS RECEITAS/DESPESAS
Sinistros,OUTRAS RECEITAS/DESPESAS
